RESPONSE;CODER;PTYNAME;PTYID;PGID;COUNTRY;CTRYID;YEAR;EUROPARTY;PARTYFAM1;PARTYFAM2;PARTYFAM3;CR2PTYFED;CR9DUESSTATE;CR12MBRNUM;CR13MBRYR;CR14AFFL;CR15AFFLYR;CR16ALLMBR;CR17ALLYR;CR20PPGLDR;CR21ORGLDR;CR22TOPCAND;CR23POLLDR;A4RECPARTYTXT;A5RECPPGTXT;A36MBRSTATE;A47LOWNAME;A67CONOTHER;A77EXCOTHER;A91EXCWOMTXT;A92EXCETHTXT;B2BALLOTTXT;B3CANLAW1TXT;B4CANLAW2TXT;B18CANWOMTXT;B19CANETH;B20CANETHTXT;B21CANRUL1;B22CANRUL2TXT;B23CANRUL3TXT;C11DEPUTY;C12DEPUTYTXT;C21PLTITLE;C30PLAFFLTXT;C58PLVOT2B;C59PLNAME
428;Costa Lobo;"Ecologist Party ""The Greens""";17006;1535;Portugal;17;2012;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
429;Costa Lobo;"Ecologist Party ""The Greens""";17006;1535;Portugal;17;2013;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
430;Costa Lobo;"Ecologist Party ""The Greens""";17006;1535;Portugal;17;2014;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
431;Verge;People's Party;18001;645;Spain;18;2011;1;1;1;1;1;Not Applicable;765805;2008;-999;-999;765805;2008;Mariano Rajoy;Mariano Rajoy;Mariano Rajoy;Mariano Rajoy;1) Constituent members have to be over 18 and not have been previously charged with illicit association or with serious crimes;;;;;;;;;;;;;;;;;;;;;;
432;Verge;People's Party;18001;645;Spain;18;2012;1;1;1;1;1;Not Applicable;765805;2008;-999;-999;765805;2008;Mariano Rajoy;Mariano Rajoy;Mariano Rajoy;Mariano Rajoy;1) Constituent members have to be over 18 and not have been previously charged with illicit association or with serious crimes;;;;;;;;;;;;;;;;;;;;;;
433;Verge;People's Party;18001;645;Spain;18;2013;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;1;The party leader nominates all members of the secretariat (Junta Directiva Nacional) who are thereafter appointed by the highest executive committee (ComisiÃ³n Ejecutiva Nacional).;Not Applicable;Not Applicable;-999;Not Applicable
434;Verge;People's Party;18001;645;Spain;18;2014;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;1;The party leader nominates all members of the secretariat (Junta Directiva Nacional) who are thereafter appointed by the highest executive committee (ComisiÃ³n Ejecutiva Nacional).;Not Applicable;Not Applicable;-999;Not Applicable
435;Verge;Socialist Party;18003;902;Spain;18;2011;2;2;2;2;5;Not Applicable;623455;2011;-999;-999;623455;2011;Alfredo Pérez Rubalcaba;Alfredo Pérez Rubalcaba;Not Applicable;Alfredo PÃ©rez Rubalcaba;1) Constituent members have to be over 18 and not have been previously charged with illicit association or with serious crimes;;;;;;;;;;;;;;;;;;;;;;
436;Verge;Socialist Party;18003;902;Spain;18;2012;2;2;2;2;5;Not Applicable;623455;2011;-999;-999;623455;2011;Alfredo Pérez Rubalcaba;Alfredo Pérez Rubalcaba;Not Applicable;Alfredo PÃ©rez Rubalcaba;1) Constituent members have to be over 18 and not have been previously charged with illicit association or with serious crimes;;;;;;;;;;;;;;;;;;;;;;
437;Verge;Socialist Party;18003;902;Spain;18;2013;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;1;The party leader drafts a list with all members of the secretariat (ComisiÃ³n Ejecutiva Federal). This list is then voted by the delegates of the party conference (individual and secret vote);Not Applicable;Not Applicable;-999;Not Applicable
438;Verge;Socialist Party;18003;902;Spain;18;2014;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;1;The party leader drafts a list with all members of the secretariat (ComisiÃ³n Ejecutiva Federal). This list is then voted by the delegates of the party conference (individual and secret vote);Secretary-General (Secretario General);No role.;-999;Pedro SÃ¡nchez
439;Verge;United Left;18005;118;Spain;18;2011;6;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Parties must submit a list of candidates for each district (province) to the provincial electoral authority. Candidates can only be included in one ballot. Gender provisions must be respected (see B8CANLAW).;Yes, there are gender provisions (see B8CANLAW2).;Yes, party lists must incorporate a minimum of 40% and a maximum of 60% of either sex into candidatesâ lists for all elections (legislative, regional, local and European). This proportion must also be respected in each set of five candidates, thus applying a double quota on the initial positions of lists.;Party lists shall contain at least 40% women. Half the provincial lists (districts) must be headed by women.;2;No rules.;1;Participate in local assemblies that will propose candidates.;Local party assemblies propose candidates.;1;The party leader nominates all members of the secretariat (ComisiÃ³n Ejecutiva Federal) who are thereafter appointed by the highest executive committee (Presidencia Federal).;Not Applicable;Not Applicable;-999;Not Applicable
440;Verge;United Left;18005;118;Spain;18;2012;6;5;5;5;6;Not Applicable;30000;2011;-999;-999;30000;2011;Cayo Lara;Cayo Lara;Cayo Lara;Cayo Lara;1) Constituent members have to be over 18 and not have been previously charged with illicit association or with serious crimes;;;;;;;;;;;;;;;;;;;;;;
441;Verge;United Left;18005;118;Spain;18;2013;6;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;1;The party leader nominates all members of the secretariat (ComisiÃ³n Ejecutiva Federal) who are thereafter appointed by the highest executive committee (Presidencia Federal).;Not Applicable;Not Applicable;-999;Not Applicable
442;Verge;United Left;18005;118;Spain;18;2014;6;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;1;The party leader nominates all members of the secretariat (ComisiÃ³n Ejecutiva Federal) who are thereafter appointed by the highest executive committee (Presidencia Federal).;Not Applicable;Not Applicable;-999;Not Applicable
443;Verge;Basque Nationalist Party;18006;1361;Spain;18;2011;8;3;8;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Parties must submit a list of candidates for each district (province) to the provincial electoral authority. Candidates can only be included in one ballot. Gender provisions must be respected (see B8CANLAW).;Yes, there are gender provisions (see B8CANLAW2).;Yes, party lists must incorporate a minimum of 40% and a maximum of 60% of either sex into candidatesâ lists for all elections (legislative, regional, local and European). This proportion must also be respected in each set of five candidates, thus applying a double quota on the initial positions of lists.;There is a gender-neutral parity quota for party bodies and electoral tickets, stipulatinig a minumum of 40% and maximum of 60% for either sex.;2;No rules.;1;Participate in local assemblies that will propose candidates, or directly propose candidates .;Local party assemblies propose candidates.;2;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
444;Verge;Basque Nationalist Party;18006;1361;Spain;18;2012;8;3;8;3;6;Not Applicable;21703;2010;-999;-999;21703;2010;Aitor Esteban;Iñigo Urkullu;Not Applicable;Iñigo Urkullu;1) Constituent members have to be over 18 and not have been previously charged with illicit association or with serious crimes;;;;;;;;;;;;;;;;;;;;;;
445;Verge;Basque Nationalist Party;18006;1361;Spain;18;2013;8;3;8;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;President (Presidente);No role.;-999;Andoni Ortuzar
446;Verge;Basque Nationalist Party;18006;1361;Spain;18;2014;8;3;8;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
447;Verge;Democratic Convergence of Catalonia;18007;2605;Spain;18;2011;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Parties must submit a list of candidates for each district (province) to the provincial electoral authority. Candidates can only be included in one ballot. Gender provisions must be respected (see B8CANLAW).;Yes, there are gender provisions (see B8CANLAW2).;Yes, party lists must incorporate a minimum of 40% and a maximum of 60% of either sex into candidatesâ lists for all elections (legislative, regional, local and European). This proportion must also be respected in each set of five candidates, thus applying a double quota on the initial positions of lists.;No rules.;2;No rules.;1;Participate in local assemblies that will propose candidates, or directly propose candidates .;No role.;2;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
448;Verge;Democratic Convergence of Catalonia;18007;2605;Spain;18;2012;3;3;3;3;6;Not Applicable;53038;2012;-999;-999;53038;2012;Josep Antoni Duran i Lleida;Artur Mas;Artur Mas;Artur Mas;1) Constituent members have to be over 18 and not have been previously charged with illicit association or with serious crimes;;;;;;;;;;;;;;;;;;;;;;
449;Verge;Democratic Convergence of Catalonia;18007;2605;Spain;18;2013;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
450;Verge;Democratic Convergence of Catalonia;18007;2605;Spain;18;2014;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
451;Aylott;Social Democrats;19001;904;Sweden;19;2011;2;2;2;2;5;Not Applicable;103203;2011;-999;-999;103203;2011;Carina Moberg;HÃ¥kan Juholt;HÃ¥kan Juholt;HÃ¥kan Juholt;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;Party Chair (partiordfÃ¶rande);No role.;-999;HÃ¥kan Juholt
452;Aylott;Social Democrats;19001;904;Sweden;19;2012;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;No registration is required. However, registration is needed in order to protect the party name. Doing this requires 1500 signatures.;No rules.;Not Applicable;FÃ¶rening;Not Applicable;Not Applicable;No rules.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
453;Aylott;Social Democrats;19001;904;Sweden;19;2013;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
454;Aylott;Social Democrats;19001;904;Sweden;19;2014;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;The system is explicitly based on parties. Parties can, and usually do, register their own party names with the Election Authority (although they can still take part if they do not). They then order their own ballot papers from the relevant county administration, which they then distribute to voters before and on election day. Parties that got at least 1% in one of the two previous elections get the cost ballot papers covered. To be a candidate on a party list, you must be eligible to vote. (Source: Election Authority website 2015-05-10.);No legal rules.;No legal rules.;"Party statutes (2013) require an ""even distribution [of places] on the ballot paper between the sexes"".";2;No rules.;1;Nomination of candidates;;;;;;;
455;Aylott;Left Party;19002;882;Sweden;19;2011;-999;5;5;5;6;Not Applicable;11246;2011;-999;-999;11246;2011;Hans Linde;Jonas SjÃ¶stedt;Jonas SjÃ¶stedt;Jonas SjÃ¶stedt;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
456;Aylott;Left Party;19002;882;Sweden;19;2012;-999;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;No registration is required. However, registration is needed in order to protect the party name. Doing this requires 1500 signatures.;No rules.;Not Applicable;PartifÃ¶rening;Not Applicable;Not Applicable;No rules.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;Party Chair (partiordfÃ¶rande);No role.;-999;Jonas SjÃ¶sted
457;Aylott;Left Party;19002;882;Sweden;19;2013;-999;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
458;Aylott;Left Party;19002;882;Sweden;19;2014;-999;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;The system is explicitly based on parties. Parties can, and usually do, register their own party names with the Election Authority (although they can still take part if they do not). They then order their own ballot papers from the relevant county administration, which they then distribute to voters before and on election day. Parties that got at least 1% in one of the two previous elections get the cost ballot papers covered. To be a candidate on a party list, you must be eligible to vote. (Source: Election Authority website 2015-05-10.);No legal rules.;No legal rules.;No rules. (A gender balance is, implicitly, assumed.);2;No rules.;1;Nomination of candidates;;;;;;;
459;Aylott;Green Party;19003;1154;Sweden;19;2011;4;4;4;4;2;Not Applicable;15544;2010;-999;-999;15544;2010;Gunvor G Ericson;Ãsa Romson and Gustav Fridolin;Not Applicable;Not Applicable;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;Party Chair (partiordfÃ¶rande);The party youth organization is represented at the national congress by one delegate for each 300 members.;-999;Ãsa Romson
460;Aylott;Green Party;19003;1154;Sweden;19;2012;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;No registration is required. However, registration is needed in order to protect the party name. Doing this requires 1500 signatures.;No rules.;Not Applicable;Kommunorganisation;Not Applicable;Not Applicable;No rules.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
461;Aylott;Green Party;19003;1154;Sweden;19;2013;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
462;Aylott;Green Party;19003;1154;Sweden;19;2014;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;The system is explicitly based on parties. Parties can, and usually do, register their own party names with the Election Authority (although they can still take part if they do not). They then order their own ballot papers from the relevant county administration, which they then distribute to voters before and on election day. Parties that got at least 1% in one of the two previous elections get the cost ballot papers covered. To be a candidate on a party list, you must be eligible to / vote. (Source: Election Authority website 2015-05-10.);No legal rules.;No legal rules.;No rules. (A gender balance is, implicitly, assumed.);2;No rules.;1;Nomination of candidates;;;;;;;
463;Aylott;Centre Party;19004;1461;Sweden;19;2011;3;3;3;3;4;Not Applicable;33859;2011;-999;-999;33859;2011;Anders W Jonsson;Annie LÃ¶Ã¶f;Annie LÃ¶Ã¶f;Annie LÃ¶Ã¶f;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;Party Chair (partiordfÃ¶rande);The party women organization, youth organization and student organization are represented by four delegates each at the national congress.;-999;Annie LÃ¶Ã¶f
464;Aylott;Centre Party;19004;1461;Sweden;19;2012;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;No registration is required. However, registration is needed in order to protect the party name. Doing this requires 1500 signatures.;No rules.;Not Applicable;Krets;Not Applicable;Not Applicable;No rules.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
465;Aylott;Centre Party;19004;1461;Sweden;19;2013;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
466;Aylott;Centre Party;19004;1461;Sweden;19;2014;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;The system is explicitly based on parties. Parties can, and usually do, register their own party names with the Election Authority (although they can still take part if they do not). They then order their own ballot papers from the relevant county administration, which they then distribute to voters before and on election day. Parties that got at least 1% in one of the two previous elections get the cost ballot papers covered. To be a candidate on a party list, you must be eligible to / vote. (Source: Election Authority website 2015-05-10.);No legal rules.;No legal rules.;The party's procedures requires its nomination committees to take account of various factors, including a balance between sexes, in their proposals for party lists.;1;"The party's procedures requires its nomination committees to take account of various factors, including ""diversity"" (which means ethnic diversity), in their proposals for party lists.";1;Nomination of candidates;;;;;;;
467;Aylott;Liberal People's Party;19005;892;Sweden;19;2011;3;3;3;3;4;Not Applicable;18100;2010;-999;-999;18100;2010;Johan Pehrson;Jan BjÃ¶rklund;Jan BjÃ¶rklund;Jan BjÃ¶rklund;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;Party Chair (partiordfÃ¶rande);The party women organization is represented by two delegates and the party youth organization is represented by three delegates at the national congress.;-999;Jan BjÃ¶rklund
468;Aylott;Liberal People's Party;19005;892;Sweden;19;2012;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;No registration is required. However, registration is needed in order to protect the party name. Doing this requires 1500 signatures.;No rules.;Not Applicable;LokalfÃ¶rening;Not Applicable;Not Applicable;No rules.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
469;Aylott;Liberal People's Party;19005;892;Sweden;19;2013;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
470;Aylott;Liberal People's Party;19005;892;Sweden;19;2014;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;The system is explicitly based on parties. Parties can, and usually do, register their own party names with the Election Authority (although they can still take part if they do not). They then order their own ballot papers from the relevant county administration, which they then distribute to voters before and on election day. Parties that got at least 1% in one of the two previous elections get the cost ballot papers covered. To be a candidate on a party list, you must be eligible to vote. (Source: Election Authority website 2015-05-10.);No legal rules.;No legal rules.;No rules.;2;No rules.;1;Nomination of candidates;;;;;;;
471;Aylott;Christian Democrats;19006;282;Sweden;19;2011;1;1;1;1;1;Not Applicable;21863;2011;-999;-999;21863;2011;Mats Odell;GÃ¶ran HÃ¤gglund;GÃ¶ran HÃ¤gglund;GÃ¶ran HÃ¤gglund;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;Party Chair (partiordfÃ¶rande);No role.;-999;GÃ¶ran HÃ¤gglund
472;Aylott;Christian Democrats;19006;282;Sweden;19;2012;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;No registration is required. However, registration is needed in order to protect the party name. Doing this requires 1500 signatures.;No rules.;Not Applicable;Lokalavdelning;Not Applicable;Not Applicable;No rules.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
473;Aylott;Christian Democrats;19006;282;Sweden;19;2013;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
474;Aylott;Christian Democrats;19006;282;Sweden;19;2014;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;The system is explicitly based on parties. Parties can, and usually do, register their own party names with the Election Authority (although they can still take part if they do not). They then order their own ballot papers from the relevant county administration, which they then distribute to voters before and on election day. Parties that got at least 1% in one of the two previous elections get the cost ballot papers covered. To be a candidate on a party list, you must be eligible to vote. (Source: Election Authority website 2015-05-10.);No legal rules.;No legal rules.;The party's statutes require its nomination committees to take account of various factors, including a balance between sexes, in their proposals for party lists.;2;No rules.;1;Nomination of candidates;;;;;;;
475;Aylott;Moderate Party;19007;657;Sweden;19;2011;1;1;1;1;3;Not Applicable;43474;2011;-999;-999;43474;2011;Anna Kinberg Batra;Fredrik Reinfeldt;Fredrik Reinfeldt;Fredrik Reinfeldt;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;Party Chair (partiordfÃ¶rande);No role.;-999;Fredrik Reinfeldt
476;Aylott;Moderate Party;19007;657;Sweden;19;2012;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;No registration is required. However, registration is needed in order to protect the party name. Doing this requires 1500 signatures.;No rules.;Not Applicable;PartifÃ¶rening;Not Applicable;Not Applicable;Yes, the chairman of the women's organization holds a seat in the working committee.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
477;Aylott;Moderate Party;19007;657;Sweden;19;2013;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
478;Aylott;Moderate Party;19007;657;Sweden;19;2014;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;The system is explicitly based on parties. Parties can, and usually do, register their own party names with the Election Authority (although they can still take part if they do not). They then order their own ballot papers from the relevant county administration, which they then distribute to voters before and on election day. Parties that got at least 1% in one of the two previous elections get the cost ballot papers covered. To be a candidate on a party list, you must be eligible to vote. (Source: Election Authority website 2015-05-10.);No legal rules.;No legal rules.;No rules.;2;No rules.;1;Nomination of candidates;;;;;;;
